action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
14,11,16,0,-0.024390243902439025,-1,hit_wall,41
5,6,7,0,-0.05555555555555555,-1,hit_wall,18
3,7,6,0,-0.0625,-1,hit_wall,16
13,23,25,0,-0.01639344262295082,-1,hit_wall,61
5,0,0,0,-0.2,-1,hit_wall,5
7,7,4,0,-0.05555555555555555,-1,hit_wall,18
9,17,12,0,-0.02631578947368421,-1,hit_wall,38
4,3,4,0,-0.09090909090909091,-1,hit_wall,11
8,8,9,0,-0.04,-1,hit_wall,25
26,37,26,0,-0.011235955056179775,-1,hit_wall,89
4,4,8,0,-0.0625,-1,hit_wall,16
17,17,26,0,-0.016666666666666666,-1,hit_wall,60
7,11,7,0,-0.04,-1,hit_wall,25
7,7,7,0,-0.047619047619047616,-1,hit_wall,21
25,26,25,1,0.039473684210526314,3,hit_wall,76
5,3,3,0,-0.09090909090909091,-1,hit_wall,11
6,6,9,0,-0.047619047619047616,-1,hit_wall,21
6,6,5,0,-0.058823529411764705,-1,hit_wall,17
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
7,2,7,0,-0.0625,-1,hit_wall,16
10,15,8,0,-0.030303030303030304,-1,hit_wall,33
3,3,4,0,-0.1,-1,hit_wall,10
5,4,4,1,0.23076923076923078,3,hit_wall,13
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
18,25,19,0,-0.016129032258064516,-1,hit_wall,62
12,6,14,0,-0.03125,-1,hit_wall,32
20,24,22,1,0.045454545454545456,3,hit_wall,66
8,3,3,0,-0.07142857142857142,-1,hit_wall,14
51,51,49,1,0.019867549668874173,3,hit_wall,151
5,6,5,0,-0.0625,-1,hit_wall,16
10,9,12,0,-0.03225806451612903,-1,hit_wall,31
8,6,6,0,-0.05,-1,hit_wall,20
7,3,19,0,-0.034482758620689655,-1,hit_wall,29
9,8,19,0,-0.027777777777777776,-1,hit_wall,36
8,10,9,0,-0.037037037037037035,-1,hit_wall,27
7,5,9,0,-0.047619047619047616,-1,hit_wall,21
3,5,6,0,-0.07142857142857142,-1,hit_wall,14
11,11,22,0,-0.022727272727272728,-1,hit_wall,44
10,12,27,0,-0.02040816326530612,-1,hit_wall,49
19,17,15,1,0.058823529411764705,3,hit_wall,51
17,18,19,0,-0.018518518518518517,-1,hit_wall,54
10,2,9,0,-0.047619047619047616,-1,hit_wall,21
12,15,20,0,-0.02127659574468085,-1,hit_wall,47
5,7,6,0,-0.05555555555555555,-1,hit_wall,18
5,5,4,0,-0.07142857142857142,-1,hit_wall,14
0,5,5,0,-0.1,-1,hit_wall,10
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
9,7,4,1,0.15,3,hit_wall,20
12,12,11,1,0.08571428571428572,3,hit_wall,35
4,10,7,0,-0.047619047619047616,-1,hit_wall,21
14,7,14,0,-0.02857142857142857,-1,hit_wall,35
19,23,21,1,0.047619047619047616,3,hit_wall,63
36,52,36,0,-0.008064516129032258,-1,hit_wall,124
20,17,14,0,-0.0196078431372549,-1,hit_wall,51
2,5,5,0,-0.08333333333333333,-1,hit_wall,12
19,16,19,0,-0.018518518518518517,-1,hit_wall,54
29,11,32,0,-0.013888888888888888,-1,hit_wall,72
5,2,2,0,-0.1111111111111111,-1,hit_wall,9
12,11,10,0,-0.030303030303030304,-1,hit_wall,33
9,4,11,0,-0.041666666666666664,-1,hit_wall,24
24,32,25,0,-0.012345679012345678,-1,hit_wall,81
26,18,19,0,-0.015873015873015872,-1,hit_wall,63
12,17,12,0,-0.024390243902439025,-1,hit_wall,41
19,19,17,0,-0.01818181818181818,-1,hit_wall,55
3,4,5,1,0.25,3,hit_wall,12
4,4,4,0,-0.08333333333333333,-1,hit_wall,12
4,4,8,0,-0.0625,-1,hit_wall,16
5,2,3,0,-0.1,-1,hit_wall,10
9,12,9,0,-0.03333333333333333,-1,hit_wall,30
4,3,3,1,0.3,3,hit_wall,10
15,6,8,0,-0.034482758620689655,-1,hit_wall,29
19,15,13,1,0.06382978723404255,3,hit_wall,47
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
14,16,6,1,0.08333333333333333,3,hit_wall,36
3,4,8,1,0.2,3,hit_wall,15
8,4,7,0,-0.05263157894736842,-1,hit_wall,19
16,12,17,0,-0.022222222222222223,-1,hit_wall,45
10,4,3,0,-0.058823529411764705,-1,hit_wall,17
3,3,7,0,-0.07692307692307693,-1,hit_wall,13
4,1,1,0,-0.16666666666666666,-1,hit_wall,6
9,13,5,0,-0.037037037037037035,-1,hit_wall,27
7,10,11,1,0.10714285714285714,3,hit_wall,28
28,17,8,0,-0.018867924528301886,-1,hit_wall,53
17,18,21,1,0.05357142857142857,3,hit_wall,56
6,1,1,0,-0.125,-1,hit_wall,8
16,18,19,0,-0.018867924528301886,-1,hit_wall,53
7,5,6,0,-0.05555555555555555,-1,hit_wall,18
4,5,1,0,-0.1,-1,hit_wall,10
14,22,21,0,-0.017543859649122806,-1,hit_wall,57
7,11,8,0,-0.038461538461538464,-1,hit_wall,26
7,7,12,0,-0.038461538461538464,-1,hit_wall,26
16,16,8,1,0.075,3,hit_wall,40
9,7,7,0,-0.043478260869565216,-1,hit_wall,23
3,4,4,0,-0.09090909090909091,-1,hit_wall,11
5,5,1,0,-0.09090909090909091,-1,hit_wall,11
14,19,10,0,-0.023255813953488372,-1,hit_wall,43
6,6,10,0,-0.045454545454545456,-1,hit_wall,22
8,9,9,0,-0.038461538461538464,-1,hit_wall,26
15,19,19,0,-0.018867924528301886,-1,hit_wall,53
23,25,29,0,-0.012987012987012988,-1,hit_wall,77
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
28,41,26,1,0.031578947368421054,3,hit_wall,95
4,5,5,0,-0.07142857142857142,-1,hit_wall,14
32,29,24,0,-0.011764705882352941,-1,hit_wall,85
10,25,12,0,-0.02127659574468085,-1,hit_wall,47
6,4,5,0,-0.06666666666666667,-1,hit_wall,15
6,8,3,0,-0.058823529411764705,-1,hit_wall,17
15,16,17,2,0.16666666666666666,8,hit_own_body,48
4,4,4,0,-0.08333333333333333,-1,hit_wall,12
6,6,13,0,-0.04,-1,hit_wall,25
38,51,61,0,-0.006666666666666667,-1,hit_wall,150
2,4,4,0,-0.1,-1,hit_wall,10
6,15,13,0,-0.029411764705882353,-1,hit_wall,34
9,5,8,0,-0.045454545454545456,-1,hit_wall,22
3,4,8,0,-0.06666666666666667,-1,hit_wall,15
2,4,4,0,-0.1,-1,hit_wall,10
4,7,7,0,-0.05555555555555555,-1,hit_wall,18
11,16,11,0,-0.02631578947368421,-1,hit_wall,38
14,18,11,0,-0.023255813953488372,-1,hit_wall,43
5,2,2,0,-0.1111111111111111,-1,hit_wall,9
9,10,9,0,-0.03571428571428571,-1,hit_wall,28
11,7,12,0,-0.03333333333333333,-1,hit_wall,30
18,20,23,2,0.13114754098360656,8,hit_own_body,61
4,1,1,0,-0.16666666666666666,-1,hit_wall,6
4,5,6,0,-0.06666666666666667,-1,hit_wall,15
9,4,11,0,-0.041666666666666664,-1,hit_wall,24
9,16,15,0,-0.025,-1,hit_wall,40
9,3,10,0,-0.045454545454545456,-1,hit_wall,22
8,7,3,0,-0.05555555555555555,-1,hit_wall,18
10,15,11,0,-0.027777777777777776,-1,hit_wall,36
21,24,21,0,-0.015151515151515152,-1,hit_wall,66
5,2,7,0,-0.07142857142857142,-1,hit_wall,14
8,12,19,2,0.20512820512820512,8,hit_wall,39
10,13,13,1,0.08333333333333333,3,hit_wall,36
12,23,17,1,0.057692307692307696,3,hit_wall,52
10,9,14,0,-0.030303030303030304,-1,hit_wall,33
12,4,8,0,-0.041666666666666664,-1,hit_wall,24
5,3,7,0,-0.06666666666666667,-1,hit_wall,15
8,7,5,0,-0.05,-1,hit_wall,20
9,9,2,1,0.15,3,hit_wall,20
4,3,3,0,-0.1,-1,hit_wall,10
32,28,23,1,0.03614457831325301,3,hit_wall,83
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
6,3,8,0,-0.058823529411764705,-1,hit_wall,17
14,14,18,0,-0.021739130434782608,-1,hit_wall,46
3,4,3,0,-0.1,-1,hit_wall,10
2,7,3,0,-0.08333333333333333,-1,hit_wall,12
6,4,7,0,-0.058823529411764705,-1,hit_wall,17
13,15,10,1,0.07894736842105263,3,hit_wall,38
7,6,7,0,-0.05,-1,hit_wall,20
4,8,10,0,-0.045454545454545456,-1,hit_wall,22
11,17,11,1,0.07692307692307693,3,hit_wall,39
22,17,23,0,-0.016129032258064516,-1,hit_wall,62
9,9,14,0,-0.03125,-1,hit_wall,32
3,3,4,0,-0.1,-1,hit_wall,10
5,9,6,0,-0.05,-1,hit_wall,20
10,7,11,1,0.10714285714285714,3,hit_wall,28
11,12,27,0,-0.02,-1,hit_wall,50
8,10,19,1,0.08108108108108109,3,hit_wall,37
8,12,8,0,-0.03571428571428571,-1,hit_wall,28
3,4,4,0,-0.09090909090909091,-1,hit_wall,11
25,19,28,0,-0.013888888888888888,-1,hit_wall,72
10,9,4,0,-0.043478260869565216,-1,hit_wall,23
23,20,32,0,-0.013333333333333334,-1,hit_wall,75
1,15,7,0,-0.043478260869565216,-1,hit_wall,23
6,1,1,0,-0.125,-1,hit_wall,8
11,7,3,0,-0.047619047619047616,-1,hit_wall,21
6,9,5,0,-0.05,-1,hit_wall,20
