action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
16,22,22,0,-0.016666666666666666,-1,hit_wall,60
13,10,11,0,-0.029411764705882353,-1,hit_wall,34
6,4,5,0,-0.06666666666666667,-1,hit_wall,15
18,33,29,1,0.0375,3,hit_wall,80
24,29,26,1,0.0379746835443038,3,hit_wall,79
4,7,7,0,-0.05555555555555555,-1,hit_wall,18
13,8,5,0,-0.038461538461538464,-1,hit_wall,26
9,5,5,0,-0.05263157894736842,-1,hit_wall,19
17,23,28,0,-0.014705882352941176,-1,hit_wall,68
26,26,35,0,-0.011494252873563218,-1,hit_wall,87
7,2,2,0,-0.09090909090909091,-1,hit_wall,11
48,53,55,0,-0.00641025641025641,-1,hit_wall,156
8,16,12,0,-0.027777777777777776,-1,hit_wall,36
60,36,53,0,-0.006711409395973154,-1,hit_wall,149
29,25,33,0,-0.011494252873563218,-1,hit_wall,87
46,27,39,0,-0.008928571428571428,-1,hit_wall,112
19,26,28,0,-0.0136986301369863,-1,hit_wall,73
25,12,18,0,-0.01818181818181818,-1,hit_wall,55
26,23,30,0,-0.012658227848101266,-1,hit_wall,79
38,35,51,1,0.024193548387096774,3,hit_wall,124
9,9,12,0,-0.03333333333333333,-1,hit_wall,30
43,58,47,0,-0.006756756756756757,-1,hit_wall,148
53,70,64,0,-0.0053475935828877,-1,hit_wall,187
44,55,43,0,-0.007042253521126761,-1,hit_wall,142
13,3,4,0,-0.05,-1,hit_wall,20
29,33,37,0,-0.010101010101010102,-1,hit_wall,99
30,24,34,0,-0.011363636363636364,-1,hit_wall,88
7,1,2,0,-0.1,-1,hit_wall,10
63,70,78,0,-0.004739336492890996,-1,hit_wall,211
12,14,10,0,-0.027777777777777776,-1,hit_wall,36
9,10,15,0,-0.029411764705882353,-1,hit_wall,34
9,14,13,0,-0.027777777777777776,-1,hit_wall,36
41,29,33,0,-0.009708737864077669,-1,hit_wall,103
11,12,13,0,-0.027777777777777776,-1,hit_wall,36
43,48,32,1,0.024390243902439025,3,hit_wall,123
22,22,23,0,-0.014925373134328358,-1,hit_wall,67
12,16,5,0,-0.030303030303030304,-1,hit_wall,33
7,7,8,0,-0.045454545454545456,-1,hit_wall,22
20,20,16,0,-0.017857142857142856,-1,hit_wall,56
18,22,12,0,-0.019230769230769232,-1,hit_wall,52
5,3,4,0,-0.08333333333333333,-1,hit_wall,12
28,35,27,1,0.03333333333333333,3,hit_wall,90
20,24,28,0,-0.013888888888888888,-1,hit_wall,72
53,59,51,1,0.018404907975460124,3,hit_wall,163
33,25,29,0,-0.011494252873563218,-1,hit_wall,87
18,22,23,0,-0.015873015873015872,-1,hit_wall,63
13,14,8,0,-0.02857142857142857,-1,hit_wall,35
18,17,20,0,-0.01818181818181818,-1,hit_wall,55
14,18,16,1,0.0625,3,hit_wall,48
22,18,24,1,0.046875,3,hit_wall,64
14,9,10,1,0.09090909090909091,3,hit_wall,33
7,9,10,0,-0.038461538461538464,-1,hit_wall,26
20,15,15,0,-0.02,-1,hit_wall,50
18,9,17,0,-0.022727272727272728,-1,hit_wall,44
4,6,6,0,-0.0625,-1,hit_wall,16
6,5,9,0,-0.05,-1,hit_wall,20
9,8,13,0,-0.03333333333333333,-1,hit_wall,30
