action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
61,57,49,0,-1.0059880239520957,-168,hit_wall,167
36,34,54,0,-1.0080645161290323,-125,hit_wall,124
40,35,21,0,-1.0104166666666667,-97,hit_wall,96
33,36,42,0,-1.009009009009009,-112,hit_wall,111
16,10,18,0,-1.0227272727272727,-45,hit_wall,44
2,6,6,0,-1.0714285714285714,-15,hit_wall,14
36,35,41,0,-1.0089285714285714,-113,hit_wall,112
19,16,15,0,-1.02,-51,hit_wall,50
29,22,30,0,-1.0123456790123457,-82,hit_wall,81
8,16,9,0,-1.0303030303030303,-34,hit_wall,33
7,4,5,0,-1.0625,-17,hit_wall,16
16,15,15,0,-1.0217391304347827,-47,hit_wall,46
32,37,40,0,-1.0091743119266054,-110,hit_wall,109
22,17,20,0,-1.0169491525423728,-60,hit_wall,59
4,4,4,0,-1.0833333333333333,-13,hit_wall,12
14,17,17,0,-1.0208333333333333,-49,hit_wall,48
28,29,27,0,-1.0119047619047619,-85,hit_wall,84
57,59,47,0,-1.0061349693251533,-164,hit_wall,163
25,16,32,0,-1.0136986301369864,-74,hit_wall,73
5,8,9,0,-1.0454545454545454,-23,hit_wall,22
32,38,27,0,-1.0103092783505154,-98,hit_wall,97
64,81,47,0,-1.0052083333333333,-193,hit_wall,192
8,2,3,0,-1.0769230769230769,-14,hit_wall,13
46,41,60,2,-0.8707482993197279,-128,hit_own_body,147
13,16,19,0,-1.0208333333333333,-49,hit_wall,48
5,15,8,0,-1.0357142857142858,-29,hit_wall,28
23,21,27,0,-1.0140845070422535,-72,hit_wall,71
18,19,11,0,-1.0208333333333333,-49,hit_wall,48
10,11,7,0,-1.0357142857142858,-29,hit_wall,28
5,8,4,0,-1.0588235294117647,-18,hit_wall,17
15,14,10,0,-1.0256410256410255,-40,hit_wall,39
13,14,13,1,-0.8,-32,hit_wall,40
12,23,23,0,-1.0172413793103448,-59,hit_wall,58
24,24,24,0,-1.0138888888888888,-73,hit_wall,72
9,10,14,0,-1.0303030303030303,-34,hit_wall,33
23,7,18,0,-1.0208333333333333,-49,hit_wall,48
9,8,9,0,-1.0384615384615385,-27,hit_wall,26
11,22,10,0,-1.0232558139534884,-44,hit_wall,43
50,41,49,0,-1.0071428571428571,-141,hit_wall,140
13,15,16,0,-1.0227272727272727,-45,hit_wall,44
20,16,24,0,-1.0166666666666666,-61,hit_wall,60
41,44,64,0,-1.0067114093959733,-150,hit_wall,149
5,6,6,0,-1.0588235294117647,-18,hit_wall,17
9,10,6,1,-0.68,-17,hit_wall,25
19,30,20,0,-1.0144927536231885,-70,hit_wall,69
14,12,13,1,-0.7948717948717948,-31,hit_wall,39
